ClusteredTitle,skill_title,City,CountryCode,skill_count
scientist,Research,Kalamazoo,US,8
scientist,Drug Discovery,Kalamazoo,US,7
scientist,High Performance Liquid Chromatography,Kalamazoo,US,7
researcher,Research,Kalamazoo,US,7
researcher,Drug Discovery,Kalamazoo,US,6
scientist,Drug Discovery,Portage,US,5
scientist,Analytical Chemistry,Kalamazoo,US,5
scientist,Biology,Kalamazoo,US,5
scientist,Biotechnology,Kalamazoo,US,5
scientist,Chemistry,Kalamazoo,US,5
scientist,Drug Development,Kalamazoo,US,5
scientist,parasitology,Kalamazoo,US,5
scientist,Research,Ann Arbor,US,5
scientist,parasitology,Ann Arbor,US,5
researcher,Biotechnology,Kalamazoo,US,5
scientist,Cell Culture,Kalamazoo,US,4
scientist,Chromatography,Kalamazoo,US,4
scientist,Good Lab Practices,Kalamazoo,US,4
scientist,Life Sciences,Kalamazoo,US,4
scientist,Ultraviolet,Kalamazoo,US,4
scientist,Biotechnology,Ann Arbor,US,4
scientist,Drug Discovery,Ann Arbor,US,4
scientist,English,Ann Arbor,US,4
scientist,Molecular Biology,Ann Arbor,US,4
scientist,project research,Ann Arbor,US,4
researcher,pharmaceutical sciences,Kalamazoo,US,4
scientist,Biotechnology,Portage,US,3
scientist,Chemistry,Portage,US,3
scientist,Good Lab Practices,Portage,US,3
scientist,High Performance Liquid Chromatography,Portage,US,3
scientist,In Vitro,Portage,US,3
scientist,Life Sciences,Portage,US,3
scientist,parasitology,Portage,US,3
scientist,pharmaceutical sciences,Portage,US,3
scientist,Assay Development,Kalamazoo,US,3
scientist,ELISA,Kalamazoo,US,3
scientist,Immunology,Kalamazoo,US,3
scientist,In Vitro,Kalamazoo,US,3
scientist,Organic Chemistry,Kalamazoo,US,3
scientist,Pharmacology,Kalamazoo,US,3
scientist,project research,Kalamazoo,US,3
scientist,Assay Development,Ann Arbor,US,3
scientist,Cell Culture,Ann Arbor,US,3
researcher,Drug Development,Kalamazoo,US,3
researcher,Good Lab Practices,Kalamazoo,US,3
researcher,Good Manufacturing Practices,Kalamazoo,US,3
researcher,High Performance Liquid Chromatography,Kalamazoo,US,3
researcher,project research,Kalamazoo,US,3
professor,Medicine,Ann Arbor,US,3
professor,Research,Ann Arbor,US,3
professor,parasitology,Ann Arbor,US,3
scientist,Analytical Chemistry,Portage,US,2
scientist,Assay Development,Portage,US,2
scientist,Biochemistry,Portage,US,2
scientist,Drug Development,Portage,US,2
scientist,Pharmacology,Portage,US,2
scientist,Research,Portage,US,2
scientist,Research & Development,Portage,US,2
scientist,Training,Portage,US,2
scientist,patient education,Portage,US,2
scientist,Antibody,Kalamazoo,US,2
scientist,Biochemistry,Kalamazoo,US,2
scientist,Cell Biology,Kalamazoo,US,2
scientist,Clinical Development,Kalamazoo,US,2
scientist,Design,Kalamazoo,US,2
scientist,Flow cytometry,Kalamazoo,US,2
scientist,In Vivo,Kalamazoo,US,2
scientist,Infectious Diseases,Kalamazoo,US,2
scientist,Medicine,Kalamazoo,US,2
scientist,Microbiology,Kalamazoo,US,2
scientist,Molecular Biology,Kalamazoo,US,2
scientist,NMR Spectroscopy,Kalamazoo,US,2
scientist,business development,Kalamazoo,US,2
scientist,coursework evaluation,Kalamazoo,US,2
scientist,engineering report development,Kalamazoo,US,2
scientist,market development,Kalamazoo,US,2
scientist,microscopy,Kalamazoo,US,2
scientist,pharmaceutical sciences,Kalamazoo,US,2
scientist,proteomics,Kalamazoo,US,2
scientist,vaccine immunology,Kalamazoo,US,2
scientist,Design,Galesburg,US,2
scientist,Drug Development,Galesburg,US,2
scientist,Drug Discovery,Galesburg,US,2
scientist,High Performance Liquid Chromatography,Galesburg,US,2
scientist,animal care,Galesburg,US,2
scientist,pharmaceutical sciences,Galesburg,US,2
scientist,Biochemistry,Ann Arbor,US,2
scientist,Bioinformatics,Ann Arbor,US,2
scientist,Biology,Ann Arbor,US,2
scientist,Cell Biology,Ann Arbor,US,2
scientist,Coaching,Ann Arbor,US,2
scientist,Computational biology,Ann Arbor,US,2
scientist,Data Analysis,Ann Arbor,US,2
scientist,Drug Development,Ann Arbor,US,2
scientist,ELISA,Ann Arbor,US,2
scientist,Genetics,Ann Arbor,US,2
scientist,High Performance Liquid Chromatography,Ann Arbor,US,2
scientist,In Vitro,Ann Arbor,US,2
scientist,Leadership,Ann Arbor,US,2
scientist,Life Sciences,Ann Arbor,US,2
scientist,Oncology,Ann Arbor,US,2
scientist,Pharmacology,Ann Arbor,US,2
scientist,Problem Solving,Ann Arbor,US,2
scientist,Project Management,Ann Arbor,US,2
scientist,Russian,Ann Arbor,US,2
scientist,Spanish,Ann Arbor,US,2
scientist,coursework evaluation,Ann Arbor,US,2
scientist,data research,Ann Arbor,US,2
scientist,pharmaceutical sciences,Ann Arbor,US,2
scientist,project team management,Ann Arbor,US,2
researcher,Biotechnology,Portage,US,2
researcher,Drug Development,Portage,US,2
researcher,Drug Discovery,Portage,US,2
researcher,Immunology,Portage,US,2
researcher,In Vitro,Portage,US,2
researcher,Infectious Diseases,Portage,US,2
researcher,Medicine,Portage,US,2
researcher,Research,Portage,US,2
researcher,parasitology,Portage,US,2
researcher,Biochemistry,Kalamazoo,US,2
researcher,Bioinformatics,Kalamazoo,US,2
researcher,Chemistry,Kalamazoo,US,2
researcher,Chromatography,Kalamazoo,US,2
researcher,Data Analysis,Kalamazoo,US,2
researcher,English,Kalamazoo,US,2
researcher,German language,Kalamazoo,US,2
researcher,Life Sciences,Kalamazoo,US,2
researcher,Management,Kalamazoo,US,2
researcher,Molecular Biology,Kalamazoo,US,2
researcher,Organic Chemistry,Kalamazoo,US,2
researcher,Research & Development,Kalamazoo,US,2
researcher,Safety,Kalamazoo,US,2
researcher,data research,Kalamazoo,US,2
researcher,engineering report development,Kalamazoo,US,2
researcher,international research,Kalamazoo,US,2
researcher,leadership development,Kalamazoo,US,2
researcher,parasitology,Kalamazoo,US,2
researcher,proteomics,Kalamazoo,US,2
researcher,research consulting,Kalamazoo,US,2
professor,Biochemistry,Ann Arbor,US,2
professor,Biology,Ann Arbor,US,2
professor,Cell Biology,Ann Arbor,US,2
professor,Clinical Trials,Ann Arbor,US,2
professor,Drug Discovery,Ann Arbor,US,2
professor,English,Ann Arbor,US,2
professor,In Vitro,Ann Arbor,US,2
professor,In Vivo,Ann Arbor,US,2
professor,Leadership,Ann Arbor,US,2
professor,Life Sciences,Ann Arbor,US,2
professor,Molecular Biology,Ann Arbor,US,2
professor,Physiology,Ann Arbor,US,2
professor,Therapeutics,Ann Arbor,US,2
chemist,Chemistry,Kalamazoo,US,2
chemist,Drug Discovery,Kalamazoo,US,2
truck driver,ATT&CK,Colorado Springs,US,1
truck driver,Clinical Trials,Colorado Springs,US,1
truck driver,Commitment,Colorado Springs,US,1
truck driver,Construction,Colorado Springs,US,1
truck driver,Design,Colorado Springs,US,1
truck driver,Driving,Colorado Springs,US,1
truck driver,Equipment Maintenance,Colorado Springs,US,1
truck driver,Heavy Duty Equipment Operation,Colorado Springs,US,1
truck driver,JAFAN,Colorado Springs,US,1
truck driver,Management,Colorado Springs,US,1
truck driver,Operations Management,Colorado Springs,US,1
truck driver,Orthopedic,Colorado Springs,US,1
truck driver,Quality Control,Colorado Springs,US,1
truck driver,Reporting,Colorado Springs,US,1
truck driver,Responsibility,Colorado Springs,US,1
truck driver,Security,Colorado Springs,US,1
truck driver,Supervision,Colorado Springs,US,1
truck driver,Testing,Colorado Springs,US,1
truck driver,Training,Colorado Springs,US,1
truck driver,Troubleshooting,Colorado Springs,US,1
truck driver,Wireline Operation,Colorado Springs,US,1
truck driver,deepwater drilling operations,Colorado Springs,US,1
truck driver,dredging,Colorado Springs,US,1
truck driver,endotracheal intubation,Colorado Springs,US,1
truck driver,heavy equipment inspection,Colorado Springs,US,1
truck driver,heavy equipment manufacturing,Colorado Springs,US,1
truck driver,heavy equipment mechanics,Colorado Springs,US,1
truck driver,heavy equipment operation,Colorado Springs,US,1
truck driver,transport truck driving,Colorado Springs,US,1
truck driver,trucking,Colorado Springs,US,1
truck driver,warehousing,Colorado Springs,US,1
territory manager,Infectious Diseases,Southgate,US,1
territory manager,Neurology,Southgate,US,1
territory manager,Oncology,Southgate,US,1
territory manager,Sales,Southgate,US,1
territory manager,Sales Operations,Southgate,US,1
territory manager,Therapeutics,Southgate,US,1
territory manager,sales consulting,Southgate,US,1
territory manager,Account Management,Saline,US,1
territory manager,B2B Marketing,Saline,US,1
territory manager,Biotechnology,Saline,US,1
territory manager,Business Administration,Saline,US,1
territory manager,Business Strategy,Saline,US,1
territory manager,Coaching,Saline,US,1
territory manager,Communication Skills,Saline,US,1
territory manager,Finance,Saline,US,1
territory manager,Hematology,Saline,US,1
territory manager,Infectious Diseases,Saline,US,1
territory manager,Leadership,Saline,US,1
territory manager,Leadership Training,Saline,US,1
territory manager,Management,Saline,US,1
territory manager,Management Coaching,Saline,US,1
territory manager,Neurology,Saline,US,1
territory manager,Oncology,Saline,US,1
territory manager,Sales,Saline,US,1
territory manager,Sales Operations,Saline,US,1
territory manager,Team Leadership,Saline,US,1
territory manager,b2b sales,Saline,US,1
territory manager,biopharmaceutical,Saline,US,1
territory manager,brand marketing,Saline,US,1
territory manager,customer experience management,Saline,US,1
territory manager,customer marketing,Saline,US,1
territory manager,development coaching,Saline,US,1
territory manager,international business management,Saline,US,1
territory manager,marketing,Saline,US,1
